panel_id	kind	gene	c_hgvs	p_hgvs	drug_name	review_status	risk_level	evidence_level	cancer_scope	secondary_review_status	source_refs	source_file	source_row	verdict	verdict_reason	reviewer	review_date	disposition
crc_301_msi	gene	ERCC2				provisional_runtime	medium	functional_background_only	colorectal_report_background_no_automatic_drug_claim	pending_report_group_review	"[{""type"": ""historical_report_corpus"", ""id"": ""crc_reviewed_final_reports_migration_20260614""}, {""type"": ""ncbi_gene"", ""id"": ""GeneID:2068"", ""url"": ""https://www.ncbi.nlm.nih.gov/gene/2068""}, {""type"": ""database_or_guideline"", ""id"": ""NCBI""}]"	panels/crc_358_msi/rules/reviewed_part3_knowledge.yaml	89	通过(治理级)	不能仅因检出ERCC2变异就在结直肠癌中外推铂类或其他DNA损伤药物敏感性	Claude(AI一审)	2026-07-14	可入报告组二审(措辞抽检后批量确认)
crc_301_msi	gene	HLA-C				provisional_runtime	medium	functional_background_only	colorectal_report_background_no_automatic_drug_claim	pending_report_group_review	"[{""type"": ""historical_report_corpus"", ""id"": ""crc_reviewed_final_reports_migration_20260614""}, {""type"": ""ncbi_gene"", ""id"": ""GeneID:3107"", ""url"": ""https://www.ncbi.nlm.nih.gov/gene/3107""}, {""type"": ""database_or_guideline"", ""id"": ""NCBI""}, {""type"": ""pubmed"", ""id"": ""PMID:2417962"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/2417962/""}]"	panels/crc_358_msi/rules/reviewed_part3_knowledge.yaml	99	通过(治理级)	需结合HLA表达或缺失、MSI/TMB和癌种证据	Claude(AI一审)	2026-07-14	可入报告组二审(措辞抽检后批量确认)
crc_301_msi	gene	ESR2				provisional_runtime	medium	functional_background_only	colorectal_report_background_no_automatic_drug_claim	pending_report_group_review	"[{""type"": ""historical_report_corpus"", ""id"": ""crc_reviewed_final_reports_migration_20260614""}, {""type"": ""ncbi_gene"", ""id"": ""GeneID:2100"", ""url"": ""https://www.ncbi.nlm.nih.gov/gene/2100""}, {""type"": ""pubmed"", ""id"": ""PMID:15604249"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/15604249/""}]"	panels/crc_358_msi/rules/reviewed_part3_knowledge.yaml	148	通过(治理级)	结直肠癌中的单个位点需结合功能证据和变异分级，不能独立形成治疗结论	Claude(AI一审)	2026-07-14	可入报告组二审(措辞抽检后批量确认)
crc_301_msi	gene	PIK3C2G				provisional_runtime	low	functional_background_only	colorectal_report_background_no_automatic_drug_claim	pending_report_group_review	"[{""type"": ""historical_report_corpus"", ""id"": ""crc_reviewed_final_reports_migration_20260614""}, {""type"": ""ncbi_gene"", ""id"": ""GeneID:5288"", ""url"": ""https://www.ncbi.nlm.nih.gov/gene/5288""}, {""type"": ""database_or_guideline"", ""id"": ""NCBI""}, {""type"": ""pubmed"", ""id"": ""PMID:25785104"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/25785104/""}]"	panels/crc_358_msi/rules/reviewed_part3_knowledge.yaml	159	通过(治理级)	具体意义需结合位点功能、拷贝数和变异分级	Claude(AI一审)	2026-07-14	可入报告组二审(措辞抽检后批量确认)
crc_301_msi	gene	CD274				provisional_runtime	medium	functional_background_only	colorectal_report_background_no_automatic_drug_claim	pending_report_group_review	"[{""type"": ""historical_report_corpus"", ""id"": ""crc_reviewed_final_reports_migration_20260614""}, {""type"": ""ncbi_gene"", ""id"": ""GeneID:29126"", ""url"": ""https://www.ncbi.nlm.nih.gov/gene/29126""}, {""type"": ""database_or_guideline"", ""id"": ""NCBI""}, {""type"": ""pubmed"", ""id"": ""PMID:17414316"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/17414316/""}, {""type"": ""pubmed"", ""id"": ""PMID:15358536"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/15358536/""}, {""type"": ""pubmed"", ""id"": ""PMID:21739608"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/21739608/""}, {""type"": ""pubmed"", ""id"": ""PMID:12847137"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/12847137/""}, {""type"": ""pubmed"", ""id"": ""PMID:18650228"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/18650228/""}, {""type"": ""pubmed"", ""id"": ""PMID:24217091"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/24217091/""}]"	panels/crc_358_msi/rules/reviewed_part3_knowledge.yaml	174	通过(治理级)	报告解读需结合PD-L1IHC、MSI/TMB、变异分级及癌种证据	Claude(AI一审)	2026-07-14	可入报告组二审(措辞抽检后批量确认)
crc_301_msi	gene	SLCO1B1				provisional_runtime	high	functional_background_only	colorectal_report_background_no_automatic_drug_claim	pending_report_group_review	"[{""type"": ""historical_report_corpus"", ""id"": ""crc_reviewed_final_reports_migration_20260614""}, {""type"": ""ncbi_gene"", ""id"": ""GeneID:10599"", ""url"": ""https://www.ncbi.nlm.nih.gov/gene/10599""}, {""type"": ""database_or_guideline"", ""id"": ""NCBI""}, {""type"": ""pubmed"", ""id"": ""PMID:21072184"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/21072184/""}, {""type"": ""pubmed"", ""id"": ""PMID:17898662"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/17898662/""}, {""type"": ""pubmed"", ""id"": ""PMID:21387541"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/21387541/""}]"	panels/crc_358_msi/rules/reviewed_part3_knowledge.yaml	279	通过(治理级)	需结合样本来源、胚系确认及相应药物指南	Claude(AI一审)	2026-07-14	可入报告组二审(措辞抽检后批量确认)
crc_301_msi	gene	XPC				provisional_runtime	medium	functional_background_only	colorectal_report_background_no_automatic_drug_claim	pending_report_group_review	"[{""type"": ""historical_report_corpus"", ""id"": ""crc_reviewed_final_reports_migration_20260614""}, {""type"": ""ncbi_gene"", ""id"": ""GeneID:7508"", ""url"": ""https://www.ncbi.nlm.nih.gov/gene/7508""}, {""type"": ""database_or_guideline"", ""id"": ""NCBI""}]"	panels/crc_358_msi/rules/reviewed_part3_knowledge.yaml	281	通过(治理级)	在结直肠癌中不能据此单独推断DNA损伤药物敏感性或免疫治疗获益	Claude(AI一审)	2026-07-14	可入报告组二审(措辞抽检后批量确认)
crc_301_msi	gene	CHD2				provisional_runtime	low	functional_background_only	colorectal_cancer_background_only	pending_report_group_review	"[{""type"": ""historical_report_corpus"", ""id"": ""crc_reviewed_final_reports_migration_20260614""}, {""type"": ""web"", ""id"": ""https://www.ncbi.nlm.nih.gov/gene/1106"", ""url"": ""https://www.ncbi.nlm.nih.gov/gene/1106""}, {""type"": ""web"", ""id"": ""https://pubmed.ncbi.nlm.nih.gov/25621013/"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/25621013/""}]"	panels/crc_358_msi/rules/reviewed_part3_knowledge.yaml	300	通过(治理级)	检出变异时仅作染色质重塑相关背景说明，并结合变异类型、分级、共突变和临床资料综合判断，不单独形成治疗结论	Claude(AI一审)	2026-07-14	可入报告组二审(措辞抽检后批量确认)
crc_301_msi	gene	HIST1H3B				provisional_runtime	low	functional_background_only	colorectal_cancer_background_only	pending_report_group_review	"[{""type"": ""historical_report_corpus"", ""id"": ""crc_reviewed_final_reports_migration_20260614""}, {""type"": ""web"", ""id"": ""https://www.ncbi.nlm.nih.gov/gene/8358"", ""url"": ""https://www.ncbi.nlm.nih.gov/gene/8358""}]"	panels/crc_358_msi/rules/reviewed_part3_knowledge.yaml	301	通过(治理级)	检出变异时应结合具体氨基酸位点、变异分级和肿瘤分子背景谨慎解释，不单独形成治疗结论	Claude(AI一审)	2026-07-14	可入报告组二审(措辞抽检后批量确认)
crc_301_msi	gene	HLA-DPA1				provisional_runtime	medium	functional_background_only	colorectal_cancer_background_only	pending_report_group_review	"[{""type"": ""historical_report_corpus"", ""id"": ""crc_reviewed_final_reports_migration_20260614""}, {""type"": ""web"", ""id"": ""https://www.ncbi.nlm.nih.gov/gene/3113"", ""url"": ""https://www.ncbi.nlm.nih.gov/gene/3113""}, {""type"": ""web"", ""id"": ""https://pubmed.ncbi.nlm.nih.gov/33473191/"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/33473191/""}]"	panels/crc_358_msi/rules/reviewed_part3_knowledge.yaml	302	通过(治理级)	检出时应结合变异功能、HLA表达或缺失、MSI/TMB及肿瘤免疫背景综合评估，不单独形成用药结论	Claude(AI一审)	2026-07-14	可入报告组二审(措辞抽检后批量确认)
crc_301_msi	gene	WDR90				provisional_runtime	low	functional_background_only	colorectal_cancer_background_only	pending_report_group_review	"[{""type"": ""historical_report_corpus"", ""id"": ""crc_reviewed_final_reports_migration_20260614""}, {""type"": ""web"", ""id"": ""https://www.ncbi.nlm.nih.gov/gene/197335"", ""url"": ""https://www.ncbi.nlm.nih.gov/gene/197335""}, {""type"": ""web"", ""id"": ""https://pubmed.ncbi.nlm.nih.gov/32946374/"", ""url"": ""https://pubmed.ncbi.nlm.nih.gov/32946374/""}]"	panels/crc_358_msi/rules/reviewed_part3_knowledge.yaml	303	通过(治理级)	检出变异时仅作中心粒/纤毛相关功能背景说明，并结合变异类型、分级和其他明确驱动变异综合判断，不单独形成治疗结论	Claude(AI一审)	2026-07-14	可入报告组二审(措辞抽检后批量确认)
